INCI Name,한글성분명,CAS No.,제조회사,원산지,추출부위(추출물),유도부위 (캘러스),캘러스 원물 원산지,효능,기타
"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,"DJC Co.,Ltd.",Synthetic (South Korea),,,,01‐2119987321‐35‐0020,2018년 1월~2020년11월
"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,"ActivON Co.,Ltd.",Synthetic (South Korea),,,,,~ 2017년 12월
"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,"COEM CO.,LTD.",Synthetic (South Korea),,,,,2020년12월~
Acanthopanax Senticosus (Eleuthero) Root Extract,가시오갈피뿌리추출물,84696-12-8,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Roots,,,,
Acanthopanax Sessiliflorus Bark Extract,오가피추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Bark,,,,
Acetyl Cysteine,아세틸시스테인,616-91-1,,Synthetic (U.S.A.),,,,,
Acetyl Cysteine,아세틸시스테인,616-91-1,Sigma,U.S.A.,,,,,
Acorus Calamus Callus Culture Extract,창포캘러스배양추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Callus (South Korea),,,,,
Acorus Calamus Root Extract,창포추출물,84775-39-3,"BIO-FD&C Co.,Ltd.",Plant (South Korea (제주)),Root,,,,
Acorus Gramineus Extract,석창포추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Acorus Gramineus Root/Stem Extract,석창포뿌리/줄기추출물,91745-11-8,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Root/Stem,,,,
Ailanthus Altissima Bark Extract,저백피추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Alchemilla Vulgaris Leaf Extract,레이디스맨틀잎추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Alisma Orientale Tuber Extract,질경이택사덩이줄기추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Tubers,,,,
Allium Cepa (Onion) Bulb Extract,양파추출물,8054-39-5,"BIO-FD&C Co.,Ltd.",Plant (South Korea),Bulb,,,,
Aloe Barbadensis Leaf Extract,알로에베라잎추출물,"85507-69-3, 94349-62-9","BIO-FD&C Co.,Ltd.",Plant (South Korea),Leaf,,,,
Althaea Officinalis Leaf/Root Extract,마시멜로잎/뿌리추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Ananas Sativus (Pineapple) Fruit Extract,얼룩파인애플추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (Vietnam),Fruit,,,,
Anemarrhena Asphodeloides Root Extract,지모추출물 (지모뿌리추출물),영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Angelica Dahurica Root Extract,백지추출물,영업비밀,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
Angelica Gigas Root Extract,참당귀뿌리추출물,미등록,"BIO-FD&C Co.,Ltd.",Plant (South Korea),,,,,
